Date,kWh
2018-05-25,512269.24000000034
2018-05-26,368193.3099999997
2018-05-27,358540.0099999999
2018-05-28,512617.0499999999
2018-05-29,522783.03999999946
2018-05-30,508969.36999999994
2018-05-31,507840.85999999975
2018-06-01,492215.53
2018-06-02,381858.4099999997
2018-06-03,355650.4800000002
2018-06-04,482332.51000000036
2018-06-05,481741.9399999999
2018-06-06,487473.82000000007
2018-06-07,479275.08000000025
2018-06-08,467845.0399999992
2018-06-09,354986.5800000004
2018-06-10,339601.47999999986
2018-06-11,466551.08000000013
2018-06-12,477871.23000000004
2018-06-13,469730.5500000001
2018-06-14,457880.4900000001
2018-06-15,457508.3500000001
2018-06-16,343254.97000000003
2018-06-17,332683.0199999998
2018-06-18,454601.32
2018-06-19,458462.4300000002
2018-06-20,447598.3999999996
2018-06-21,434689.1100000002
2018-06-22,365694.58000000025
2018-06-23,318670.77999999997
2018-06-24,315625.32000000007
2018-06-25,427946.6
2018-06-26,426064.71000000037
2018-06-27,427106.96000000014
2018-06-28,433574.48000000016
2018-06-29,426922.5500000002
2018-06-30,333460.9800000001
2018-07-01,322812.39
2018-07-02,423561.2499999996
2018-07-03,428616.82000000024
2018-07-04,418498.13000000035
2018-07-05,418661.13999999955
2018-07-06,411517.42999999947
2018-07-07,338446.3200000001
2018-07-08,323498.6399999999
2018-07-09,412179.64999999973
2018-07-10,412794.3300000002
2018-07-11,417967.2999999995
2018-07-12,423260.4900000003
2018-07-13,417717.15999999974
2018-07-14,350539.46
2018-07-15,348797.97999999986
2018-07-16,436473.25
2018-07-17,437650.5199999996
2018-07-18,434802.19000000047
2018-07-19,433710.95000000024
2018-07-20,432997.6100000008
2018-07-21,360330.72000000015
2018-07-22,346904.9900000001
2018-07-23,429056.54999999993
2018-07-24,437580.4199999997
2018-07-25,441293.82000000036
2018-07-26,443608.37000000017
2018-07-27,442055.44
2018-07-28,368298.45000000007
2018-07-29,358387.84000000014
2018-07-30,460538.28999999934
2018-07-31,458824.95999999985
2018-08-01,473081.7900000006
2018-08-02,481278.5600000001
2018-08-03,478794.8500000001
2018-08-04,374369.4799999999
2018-08-05,358881.6500000002
2018-08-06,475902.1900000001
2018-08-07,484707.5900000002
2018-08-08,492556.5699999994
2018-08-09,515361.1399999996
2018-08-10,513775.62999999995
2018-08-11,378935.7099999993
2018-08-12,359016.1900000001
2018-08-13,517937.5899999997
2018-08-14,513091.6699999999
2018-08-15,530227.8599999998
2018-08-16,520595.26999999984
2018-08-17,524134.12000000017
2018-08-18,383650.07999999955
2018-08-19,370255.5900000004
2018-08-20,530114.0000000002
2018-08-21,525538.5799999998
2018-08-22,523030.46999999986
2018-08-23,532992.6100000005
2018-08-24,516918.4599999997
2018-08-25,373369.30999999994
2018-08-26,355340.3199999997
2018-08-27,527215.54
2018-08-28,532115.3699999999
2018-08-29,530504.56
2018-08-30,535422.5599999997
2018-08-31,524692.2500000001
2018-09-01,378175.15999999986
2018-09-02,361881.4900000004
2018-09-03,499608.4662372062
2018-09-04,511788.51247441163
2018-09-05,510612.3687116166
2018-09-06,510496.2249488221
2018-09-07,498358.071186028
2018-09-08,363823.41742323333
2018-09-09,345497.94366043917
2018-09-10,515405.0098976449
2018-09-11,514701.9161348501
2018-09-12,514085.9223720558
2018-09-13,502660.2386092613
2018-09-14,499710.37484646664
2018-09-15,361496.4710836728
2018-09-16,345545.7273208785
2018-09-17,521369.3335580834
2018-09-18,517865.079795289
2018-09-19,509973.73603249463
2018-09-20,503409.5322697008
2018-09-21,505735.9285069057
2018-09-22,363932.1347441116
2018-09-23,339805.75098131696
2018-09-24,517687.0072185224
2018-09-25,525682.2234557283
2018-09-26,532407.8796929339
2018-09-27,520073.0659301397
2018-09-28,514880.1021673453
2018-09-29,376449.3584045509
2018-09-30,353743.81464175624
2018-10-01,520237.87087896187
2018-10-02,529008.287116168
2018-10-03,546253.1433533729
2018-10-04,543885.2595905788
2018-10-05,534574.5958277842
2018-10-06,382584.19206498965
2018-10-07,368984.64830219565
2018-10-08,539068.2428195428
2018-10-09,533224.5573368899
2018-10-10,526337.0718542379
2018-10-11,525951.996371585
2018-10-12,517614.040888933
2018-10-13,373991.9754062795
2018-10-14,358985.20992362715
2018-10-15,481023.9744409749
2018-10-16,484915.8989583224
2018-10-17,491173.70347566926
2018-10-18,484900.12799301674
2018-10-19,482588.0725103643
2018-10-20,385697.72702771187
2018-10-21,369262.3515450591
2018-10-22,526491.6260624072
2018-10-23,544293.4805797539
2018-10-24,558595.2750971019
2018-10-25,561409.3296144494
2018-10-26,554518.9141317963
2018-10-27,421437.7086491439
2018-10-28,420026.4031664915
2018-10-29,584100.5176838386
2018-10-30,585293.4122011857
2018-10-31,568857.5667185336
2018-11-01,558094.3712358812
2018-11-02,551963.8157532288
2018-11-03,401719.09027057554
2018-11-04,394137.8247879232
2018-11-05,565019.0293052708
2018-11-06,571737.4238226183
2018-11-07,568511.2378784275
2018-11-08,581778.2149645392
2018-11-09,569665.3507446806
2018-11-10,409688.72652482253
2018-11-11,384696.0023049645
2018-11-12,579285.002529551
2018-11-13,579235.6827541374
2018-11-14,568863.596589834
2018-11-15,565384.7504255316
2018-11-16,556843.6242612294
2018-11-17,436197.20809692703
2018-11-18,431099.2719326239
2018-11-19,585252.6557683218
2018-11-20,589326.4462706861
2018-11-21,586827.2967730497
2018-11-22,600434.7247754136
2018-11-23,593584.7650000002
2018-11-24,436928.715224586
2018-11-25,424997.4554491726
2018-11-26,607925.3256737585
2018-11-27,611032.5758983457
2018-11-28,609275.1461229315
2018-11-29,613630.816347518
2018-11-30,608487.4765721037
2018-12-01,449433.2267966901
2018-12-02,429165.1270212766
2018-12-03,613351.6672458623
2018-12-04,606642.6874704497
2018-12-05,593226.1476950358
2018-12-06,463116.50791962165
2018-12-07,552316.858144208
2018-12-08,441478.66836879385
2018-12-09,412459.2085933807
2018-12-10,597603.0788179673
2018-12-11,609537.179042553
2018-12-12,613565.58926714
2018-12-13,618158.0994917257
2018-12-14,611297.1697163122
2018-12-15,455700.2899408982
2018-12-16,440284.1401654848
2018-12-17,619079.3003900715
2018-12-18,621969.3861702126
2018-12-19,621821.4619503533
2018-12-20,614606.2577304969
2018-12-21,591106.4835106384
2018-12-22,446140.5792907807
2018-12-23,425262.055070922
2018-12-24,450038.79085106397
2018-12-25,450432.0066312058
2018-12-26,449244.59241134784
2018-12-27,512031.598191489
2018-12-28,514594.15397163096
2018-12-29,431856.4497517734
2018-12-30,420795.87553191447
2018-12-31,505887.11131205695
2019-01-01,445418.09391038073
2019-01-02,531961.8265087046
2019-01-03,542870.7991070275
2019-01-04,543215.7817053517
2019-01-05,457773.504303675
2019-01-06,449929.6869019984
2019-01-07,621468.799500322
2019-01-08,628448.0320986452
2019-01-09,633407.6896969699
2019-01-10,637601.1148484848
2019-01-11,638976.4400000004
2019-01-12,466916.9399999999
2019-01-13,453498.97
2019-01-14,643382.0200000004
2019-01-15,655458.5600000003
2019-01-16,659138.9900000005
2019-01-17,660351.8800000007
2019-01-18,651929.9366666664
2019-01-19,634200.4533333337
2019-01-20,628543.045
2019-01-21,650480.8499999997
2019-01-22,655724.8200000003
2019-01-23,663211.5799999998
2019-01-24,661108.9399999997
2019-01-25,653275.6599999998
2019-01-26,483215.70000000036
2019-01-27,470526.1199999997
2019-01-28,659182.3999999996
2019-01-29,655618.8200000002
2019-01-30,654327.9999999997
2019-01-31,650692.7699999997
2019-02-01,647761.0650000001
2019-02-02,479035.05000000005
2019-02-03,455561.1499999998
2019-02-04,557550.1199999999
2019-02-05,653081.6100000005
2019-02-06,653407.2399999995
2019-02-07,649840.5699999998
2019-02-08,635653.3399999997
2019-02-09,471943.0400000004
2019-02-10,455871.18999999977
2019-02-11,641164.22
2019-02-12,643198.5400000002
2019-02-13,645976.1799999997
2019-02-14,627535.8500000003
2019-02-15,606871.9899999998
2019-02-16,439966.33999999997
2019-02-17,437448.82999999955
2019-02-18,579500.58
2019-02-19,582110.5899999994
2019-02-20,584846.91
2019-02-21,587350.9399999998
2019-02-22,580255.4000000003
2019-02-23,456153.71000000014
2019-02-24,440171.1799999997
2019-02-25,606455.5400000003
2019-02-26,625586.000000001
2019-02-27,625283.2800000004
2019-02-28,618375.2500000002
2019-03-01,620209.7000000001
2019-03-02,456367.18999999977
2019-03-03,443001.5599999999
2019-03-04,632412.0100000001
2019-03-05,635739.8600000005
2019-03-06,637279.8999999998
2019-03-07,633431.2200000007
2019-03-08,608455.8200000002
2019-03-09,459032.1300000003
2019-03-10,442920.1800000006
2019-03-11,627429.8600000005
2019-03-12,632289.1100000005
2019-03-13,636191.7899999998
2019-03-14,628033.6000000001
2019-03-15,611065.0700000001
2019-03-16,447684.18999999977
2019-03-17,431366.9299999997
2019-03-18,613508.3199999998
2019-03-19,610416.9800000006
2019-03-20,618769.0399999997
2019-03-21,606619.8800000002
2019-03-22,591107.3100000004
2019-03-23,446022.23000000033
2019-03-24,419703.86999999976
2019-03-25,605128.6499999998
2019-03-26,608746.0099999998
2019-03-27,605375.6199999995
2019-03-28,597238.7000000001
2019-03-29,564319.5299999998
2019-03-30,415762.48000000033
2019-03-31,394265.93000000005
2019-04-01,589973.0399999998
2019-04-02,591019.9099999997
2019-04-03,585734.2399999999
2019-04-04,571447.81
2019-04-05,565167.0599999999
2019-04-06,406944.54000000015
2019-04-07,394403.3399999999
2019-04-08,589638.7999999999
2019-04-09,603233.6899999997
2019-04-10,613670.3600000001
2019-04-11,604038.3799999998
2019-04-12,581401.4799999996
2019-04-13,431226.44999999984
2019-04-14,418619.9521212121
2019-04-15,571053.4442424241
2019-04-16,561151.3863636362
2019-04-17,560850.6984848488
2019-04-18,531573.4606060608
2019-04-19,414972.28272727254
2019-04-20,369216.1248484847
2019-04-21,373025.1469696971
2019-04-22,416084.879090909
2019-04-23,539897.8912121205
2019-04-24,538917.9933333334
2019-04-25,543345.6454545449
2019-04-26,539005.7775757577
2019-04-27,385561.8696969693
2019-04-28,378756.44181818195
2019-04-29,550453.6239393938
2019-04-30,531352.4960606062
2019-05-01,413030.16818181874
2019-05-02,562866.4603030302
2019-05-03,571442.732424242
2019-05-04,417103.2545454541
2019-05-05,392467.0666666667
2019-05-06,548680.3387878787
2019-05-07,551013.670909091
2019-05-08,551520.7630303032
2019-05-09,545223.175151515
2019-05-10,543079.207272727
2019-05-11,394945.1593939395
2019-05-12,377295.44151515135
2019-05-13,548917.9536363634
2019-05-14,544138.6557575758
2019-05-15,543325.9178787888
2019-05-16,532837.25
2019-05-17,519843.88000000024
2019-05-18,376847.9
2019-05-19,366557.95000000024
2019-05-20,521573.3700000002
2019-05-21,527859.5299999994
2019-05-22,528798.8699999998
2019-05-23,538077.1199999994
2019-05-24,532376.2000000001
2019-05-25,383838.5500000002
2019-05-26,383414.0899999999
2019-05-27,538612.2999999999
2019-05-28,530314.9199999996
2019-05-29,525071.95
2019-05-30,414004.0300000002
2019-05-31,510925.31999999966
2019-06-01,385578.1700000003
2019-06-02,372220.1600000001
2019-06-03,494526.5000000003
2019-06-04,495609.16999999987
2019-06-05,496084.46000000054
2019-06-06,497168.3599999999
2019-06-07,496274.72000000015
2019-06-08,381927.2999999999
2019-06-09,365365.68999999994
2019-06-10,481426.4499999994
2019-06-11,488687.3900000004
2019-06-12,483366.3199999997
2019-06-13,491167.11000000004
2019-06-14,476766.45999999996
2019-06-15,358244.8200000001
2019-06-16,349155.9599999996
2019-06-17,469906.2912121213
2019-06-18,470946.902424243
2019-06-19,467765.0036363639
2019-06-20,454114.70484848495
2019-06-21,385179.9760606061
2019-06-22,334263.747272727
2019-06-23,330914.588484848
2019-06-24,442411.0996969695
2019-06-25,443381.47090909077
2019-06-26,445588.0821212124
2019-06-27,449734.3333333333
2019-06-28,434141.1545454546
2019-06-29,341688.6857575759
2019-06-30,334557.81696969713
2019-07-01,427220.01818181784
2019-07-02,431223.63939393935
2019-07-03,431420.59060606034
2019-07-04,430363.2618181817
2019-07-05,425577.88303030265
2019-07-06,343473.93424242415
2019-07-07,334349.17545454536
2019-07-08,424794.8166666665
2019-07-09,429413.4178787879
2019-07-10,424167.94909090945
2019-07-11,427664.2103030305
2019-07-12,417261.3815151515
2019-07-13,338033.72272727266
2019-07-14,326867.69393939426
2019-07-15,413827.9351515158
2019-07-16,416101.4763636362
2019-07-17,417616.1775757574
2019-07-18,422665.22878787876
2019-07-19,416384.17000000004
2019-07-20,345244.4599999999
2019-07-21,340348.71000000014
2019-07-22,424864.42000000016
2019-07-23,427692.8200000003
2019-07-24,434812.19
2019-07-25,429458.1499999998
2019-07-26,430876.31999999954
2019-07-27,366786.70999999985
2019-07-28,360967.89999999973
2019-07-29,433988.58000000037
2019-07-30,432715.01999999996
2019-07-31,430478.9100000005
2019-08-01,434561.2999999999
2019-08-02,433492.56999999983
2019-08-03,343345.40000000026
2019-08-04,335326.2199999996
2019-08-05,458705.4800000003
2019-08-06,469256.2499999998
2019-08-07,483298.3899999998
2019-08-08,497098.0300000002
